case_id,reader_id,center,risk,batch_id
f2b83cc5-d0f9-437e-9b41-25a46e216e51,J1,xuhui,2,1
7cc563c1-6b2d-4f4e-9efb-2a83774f1046,M1,xuhui,2,1
a951e2b4-09ce-4ff1-bb1c-dea635d35b3d,S1,xuhui,2,1
0f825e28-e95e-441a-ade2-216f0f4ef29c,J1,xuhui,2,1
31fafc11-bc10-4c90-9d03-107a6e8e6ae4,M1,xuhui,2,1
31abe204-3f47-4e35-860c-3655f78b27dd,S1,xuhui,2,1
7c785a77-98a8-4708-ba81-af7ea8aaed14,J1,xuhui,2,1
63746ea2-124e-4c2e-88b9-52fd6694f9a9,M1,xuhui,2,1
6390a69d-a071-4c7d-b77a-0c5b6dcd2a12,S1,xuhui,2,1
641ffcb2-270f-436c-9f98-c2cb27f92b3d,J1,xuhui,2,1
d9ecb534-3539-42a3-aa5e-bbac38be8a8b,M1,xuhui,2,1
301aa6f6-bf23-49dc-ab7d-c7c08b901444,S1,xuhui,2,1
7c041455-b9c1-4d77-93d5-c1780cce87a5,J1,xuhui,2,1
39665198-9fc5-43b4-872c-35fb8030a7d5,M1,xuhui,2,1
f1a14791-e1fb-4104-92b4-bdbae56e403f,S1,xuhui,2,1
a74f6bb0-fcd6-4e86-81c1-b1591adab014,J1,xuhui,2,1
2f4bb9c4-372c-4e12-8771-da7d6715dc93,M1,xuhui,2,1
2f2a01f9-c647-493c-99ae-52168f7d7be3,S1,xuhui,2,1
2d609fde-9a4c-43a3-a43f-3f38524cb0c7,J1,xuhui,2,1
2d4746a5-01cd-41f5-b848-8830577cd805,M1,xuhui,2,1
2cf20388-64b3-48b1-82dc-5dac4aa69c05,S1,xuhui,2,1
2cdeda47-0d90-43f1-9e71-2dfe14d59834,J1,xuhui,2,1
66aa9b70-046a-445e-8d78-af74ad78c5d3,M1,xuhui,2,1
a5e2aba4-dc7a-450a-b152-a355b490d364,S1,xuhui,2,1
dcb41996-a6bf-4b04-896e-b3f84702f1dd,J1,xuhui,2,1
97119abe-a8e2-482c-9daf-76c6c5d2e4a3,M1,xuhui,2,1
2a8c6dee-fe2f-423a-ac99-9c83372bd3a6,S1,xuhui,2,1
30140068-e4e0-4c74-9c0d-2e471bcd2214,J1,xuhui,2,1
d21ab248-78aa-4542-8243-84ae7636491c,M1,xuhui,2,1
d27f4b54-4e3e-4381-ae56-8d6d7ee392b5,S1,xuhui,2,1
5dd1e94e-387f-4b91-a525-b0d86cf33547,J1,xuhui,2,1
0c2cbb66-c43e-45db-9da4-abcf191a9098,M1,xuhui,2,1
5df16c70-6fe5-4525-8ad3-773954d655ae,S1,xuhui,2,1
38694c06-cd86-4c4b-af19-bc12e46b3efa,J1,xuhui,2,1
ac2ec68f-d4d1-4eac-9cf9-9465935b2008,M1,xuhui,2,1
0ced20cd-b614-4acf-8a07-dab8d46f911b,S1,xuhui,2,1
0cf7961e-a999-4530-880e-c1bb77a62619,J1,xuhui,2,1
d4c2b048-2e8a-45d6-8a3c-3e72990a0ee3,M1,xuhui,2,1
7efc01ab-525f-4332-b40d-b887130c04c4,S1,xuhui,2,1
7ee76d58-732a-437a-8ac4-17607cf80bd5,J1,xuhui,2,1
d4dd62e8-297f-4dbf-88b8-8e5cc12821d9,M1,xuhui,2,1
f2f920b7-caaf-4719-8862-631a3f809aed,S1,xuhui,2,1
9364f5e6-0f06-48e1-886b-320c88d104db,J1,xuhui,2,1
36920ed1-a48c-498e-a2b2-04c73779407d,M1,xuhui,2,1
d5bf5033-99e6-421d-a9ad-681536e0bc93,S1,xuhui,2,1
35491064-288e-49af-87ec-ecd81c448ef7,J1,xuhui,2,1
f4b92db8-a0c6-4d22-9208-33e91a335a45,M1,xuhui,2,1
d66bb52a-e3ff-4ccb-bdba-9636151ee47c,S1,xuhui,2,1
0e52c130-9d96-4978-99de-22b2495a9002,J1,xuhui,2,1
d7338987-8f98-4a3e-be39-2bf4cd4740c2,M1,xuhui,2,1
d7616684-5c56-45aa-966e-f56321f1aad2,S1,xuhui,2,1
94698bfe-ca60-4514-8a1b-5bc0b6259a8c,J1,xuhui,2,1
f3ac611a-ecec-45b5-a2ae-e145a6972e23,M1,xuhui,2,1
7d26ab81-546d-4a41-a3a0-e8557c83cf6f,S1,xuhui,2,1
626c431c-ce2f-424d-a62d-5abc81d813f9,J1,xuhui,2,1
abab6331-061b-4c31-9295-1b8d2ec1f23e,M1,xuhui,2,1
1832596d-ee13-4126-8529-04e0c9716e93,S1,xuhui,2,1
24211e50-797e-49b8-b97a-ca5ff8964336,J1,xuhui,2,1
997c3090-de14-42f1-93f1-2898d3a615a6,M1,xuhui,2,1
6e8ee151-66db-48ab-8ca1-bed744116d59,S1,xuhui,2,1
a01d50b9-4b2e-4806-8983-16d41fbd651d,J1,xuhui,2,2
6fc1583c-1d26-4e85-a0cb-5899d7972d04,M1,xuhui,2,2
6ffa7ee2-cda5-4119-b4e1-78ccaea8123d,S1,xuhui,2,2
21ba45fa-119e-4497-b5a4-5b3eb11e068a,J1,xuhui,2,2
9a78eaf8-dc7c-480f-8106-d68332423c81,M1,xuhui,2,2
e4ca2c81-dd1a-4a58-9d09-c5aac7ad4ca1,S1,xuhui,2,2
9accbb7a-9c40-45af-b2c3-e44220f7b5d0,J1,xuhui,2,2
e54625a3-7ea2-4a2d-8ab1-26cdeaba8a8e,M1,xuhui,2,2
9e5c20f6-9326-49d6-ac97-951dc3779b6a,S1,xuhui,2,2
14721cf6-3cff-4a05-8a54-93f740aaf4da,J1,xuhui,2,2
e9ede57d-c3e7-4a8d-990f-60e014280b90,M1,xuhui,2,2
1f5996a2-8f31-4e8c-a0e9-ab4cdd2e04f1,S1,xuhui,2,2
1f4e0e84-bf56-4231-964b-a4bccdbc5d4e,J1,xuhui,2,2
71cf6d80-1ec2-4596-948f-5efb0babfe0a,M1,xuhui,2,2
1b4de36d-7322-4c0f-b733-cffa873f3fbc,S1,xuhui,2,2
1efa1886-57bb-49bc-b310-395e689685d2,J1,xuhui,2,2
75efa061-3e81-4da7-ac4f-6e09f8166e3f,M1,xuhui,2,2
1e8c9e34-ff92-4ffe-a66f-570707eba7a1,S1,xuhui,2,2
72c43f37-8895-40f6-9519-7fd21ffc677e,J1,xuhui,2,2
1e40a1b4-8f2a-42e8-acd5-b38746bd3f92,M1,xuhui,2,2
1c3c4d88-23b9-451a-a4e7-1e60543587c0,S1,xuhui,2,2
7431c7e2-67b3-4914-a709-b1aee5258e9a,J1,xuhui,2,2
9c7268d9-aff4-4578-a171-9889514b134a,M1,xuhui,2,2
e9f0986a-acf4-4af0-bc30-9e69cd386af0,S1,xuhui,2,2
a4683c21-d5ed-49a3-a8b9-2bf740b15ef4,J1,xuhui,2,2
ef7f0df6-4594-4b11-b28f-8329fa275314,M1,xuhui,2,2
a42bb0af-8f3d-4f4a-b5e4-03d42e411cbb,S1,xuhui,2,2
29851562-3d2c-4d91-98df-60a5e27fdf9a,J1,xuhui,2,2
de0932c4-3c9f-4571-b47d-402c1b18766a,M1,xuhui,2,2
798d0950-52c4-40ff-91eb-fffb37de3389,S1,xuhui,2,2
15985d39-9c2c-4532-8f1e-1a6a5220674f,J1,xuhui,2,2
286e30b1-1947-435a-8112-0dfae3ef6798,M1,xuhui,2,2
15aa9916-5495-4af6-abd8-5ec0ad2a4152,S1,xuhui,2,2
de247b12-5cf0-4139-89e4-8c6ddde7aab5,J1,xuhui,2,2
6af3cc80-4bc3-4a3d-9c37-6dad09ffd336,M1,xuhui,2,2
98594987-5765-4160-9b1c-f94ef0b191ee,S1,xuhui,2,2
15ee7eb6-abb4-4262-911e-f31493ebba2f,J1,xuhui,2,2
77effca2-3a6d-412a-b815-c5c7098ff489,M1,xuhui,2,2
1608b202-c406-4834-819f-b6478556dac6,S1,xuhui,2,2
df687535-d669-4c9c-97cb-8e0a590e482b,J1,xuhui,2,2
